"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",-4.37,-3.88,0.73,-3.2,-6.41,1.17,7.82,-4.76,-6.41,0.73,1.99,0.63,-1.41,-4.32,0.63,-9.22,0.87,0.68,0.29,-4.51,-6.65,-4.03,1.94,-3.11,-4.32,-0.63,5.83,3.64,0.39,-0.44,0.73,1.07,3.06,-4.51,-0.39,3.11,1.02,-2.09,-6.21,-4.71,1.07,2.77,2.04,-5.97,-0.58,-3.74,3.3,-1.46,6.02,0.44,-4.22,-0.44,-1.94,8.45,-3.01,-4.51,3.54,-0.44,4.56,2.04,5.78,5.63,6.02,-4.37,-8.98,0.87,-4.66,2.82,2.86,-4.03,3.06,2.91,5.44,-4.76,-8.93,-0.49,8.16,-3.16,0.83,1.94,-0.49,2.62,1.99,-3.11,-0.44,-6.5,2.04,-3.16,2.09,5.34,5.73,-6.7,1.99,2.62,-0.49,3.45,3.2,-0.53,-0.53,-2.96
"2",3.5,2.28,3.01,-0.63,4.95,-0.49,-0.49,-0.68,3.3,-1.41,4.71,3.3,1.26,-4.03,-5.49,-5.44,2.86,1.17,1.8,1.07,2.62,0.73,-0.39,-1.94,1.99,1.21,2.09,3.74,0.63,3.3,2.04,-2.48,3.35,2.18,4.32,1.89,-1.99,4.17,2.43,2.86,4.47,-1.02,2.38,-0.63,-4.76,-2.09,3.16,3.79,4.27,1.99,1.7,4.08,0.87,-2.62,2.04,3.3,3.06,-3.74,0.34,-0.92,1.75,0.78,3.69,-0.68,3.35,1.65,0.92,2.52,1.7,5,7.18,6.75,4.71,3.2,2.23,4.47,3.5,5.97,0.44,4.51,7.14,5,8.98,5.39,4.27,4.47,3.2,4.56,4.22,3.83,1.89,3.54,2.38,2.77,-0.24,2.28,5.05,4.51,4.08,2.96
"3",1.02,6.07,6.65,-0.87,6.8,0.68,5.34,4.56,-0.39,8.25,8.93,6.21,0.1,9.08,-0.73,2.43,6.46,-5.34,0.97,3.83,8.59,4.71,8.45,-0.44,8.59,7.52,6.26,9.08,7.28,6.17,6.99,8.3,-7.91,6.8,2.82,3.5,0.15,1.99,9.17,8.2,8.4,6.8,8.3,-1.26,8.01,7.48,8.11,7.91,9.03,8.88,7.28,8.11,9.08,8.88,6.21,8.83,3.54,0.19,6.65,6.07,8.93,3.4,8.11,8.54,7.82,7.67,5.29,-0.29,0.78,8.06,-0.05,8.5,8.88,4.27,9.08,8.54,6.17,8.74,3.2,8.5,0.92,9.13,8.54,6.36,9.03,9.03,3.54,4.66,8.93,6.46,6.75,8.74,9.17,7.52,5.73,5.92,-6.6,0.24,9.08,8.98
"4",3.64,1.6,-0.39,3.74,-6.36,-9.61,8.88,-4.08,-7.09,3.88,-6.36,-9.76,1.75,-7.96,-1.07,-1.07,-7.96,-0.92,2.38,-6.5,-1.89,4.85,-9.13,6.12,1.6,-9.56,-9.37,-3.83,-0.44,-6.17,-8.11,-0.73,-2.67,-4.9,3.25,4.03,3.3,0,-5.87,-4.17,-3.54,-9.81,-2.62,1.75,-2.57,-1.89,-8.88,1.31,-3.88,-3.54,-9.66,-9.66,-4.71,-2.62,-3.35,-8.59,-8.01,-5.78,-9.76,-0.34,-3.01,-1.99,-9.71,6.75,1.26,-5.39,0.24,-0.73,-6.07,-9.71,0.44,-2.14,-9.56,-9.71,-9.27,-9.08,-8.01,-9.61,-9.61,-9.56,4.61,-0.29,-9.56,-3.45,-9.71,1.12,-6.5,-6.94,-5.1,-6.46,8.59,-3.69,-1.84,3.11,0.87,1.02,4.17,-6.55,-8.93,-9.42
"5",4.51,5.53,6.02,5.58,4.85,7.86,3.83,6.84,5.34,8.4,8.25,7.18,6.8,6.41,-0.92,4.76,6.55,3.59,2.18,3.45,8.01,8.83,6.31,5.05,7.91,6.65,8.01,7.96,6.21,4.51,7.28,9.32,-1.02,6.36,8.83,8.25,0.97,8.11,6.07,8.4,6.26,3.59,4.71,5.34,8.16,7.09,7.04,7.18,6.7,2.67,-7.52,-6.21,8.59,2.28,-6.94,6.84,4.27,4.51,5.49,3.98,7.23,7.48,6.89,5.58,8.79,5.34,5.83,8.35,7.62,5,5.58,5.92,4.66,5.19,5.24,5.63,5.87,5.05,5.34,5.24,4.37,4.17,4.71,3.79,6.5,6.94,3.3,4.51,3.3,5.87,6.41,7.33,5.49,4.66,5.34,3.01,4.66,6.55,7.33,5.87
"6",0.29,4.81,-5.92,7.14,-4.71,-4.03,7.67,1.17,8.3,7.18,8.83,8.5,6.36,6.99,3.06,8.64,-0.53,5.97,6.46,3.79,-0.87,1.84,5,8.93,4.03,1.36,-0.39,3.59,3.64,5.49,4.32,5.44,3.35,7.77,8.54,7.62,-1.21,6.12,2.62,2.48,-0.19,4.03,3.59,9.37,8.2,6.84,5.53,4.61,1.94,2.33,-4.32,-0.87,6.07,7.33,5.78,6.46,4.56,-5,8.25,7.82,8.45,-2.23,1.55,8.83,3.45,-3.59,0.83,-0.63,5.92,7.82,-5.58,1.5,7.86,-8.11,7.96,8.74,7.04,5.49,5.68,-4.08,8.4,-3.45,-0.92,-1.02,-4.51,7.72,5.1,8.06,7.57,1.7,4.71,-1.26,3.74,3.74,-6.12,7.14,9.22,-0.15,7.23,-3.11
"7",1.21,-1.12,2.72,-3.16,3.74,3.01,3.06,1.84,-9.71,-2.14,1.6,-3.69,-3.59,1.6,-4.9,-9.22,0.49,-2.82,-0.53,0.39,1.84,-1.99,-1.41,-3.01,1.26,-3.74,2.52,1.12,3.88,-4.76,1.7,0.63,-0.83,-0.15,-0.24,4.13,0.19,-1.36,1.6,2.86,-3.01,-3.98,-6.55,2.48,2.43,-2.67,-1.94,3.74,1.46,5.05,3.5,-3.06,2.38,2.28,4.32,2.82,-9.61,-8.59,0.29,-8.3,-0.05,5.15,-3.74,4.61,2.62,1.55,-9.42,-0.92,4.03,-0.63,-6.94,-1.07,1.17,-0.92,1.84,3.16,0.73,1.84,-1.26,-3.16,1.89,-3.3,0.58,-3.11,2.04,-4.51,-2.38,1.26,-2.52,-6.46,-4.81,-1.6,0.73,-6.41,-8.06,5.1,2.04,-5.05,-6.7,-4.37
"8",2.48,-6.26,-4.61,-6.36,-2.09,-6.36,2.91,0.44,1.07,-8.69,0.92,3.45,-4.56,-1.84,0.49,-9.32,-4.42,-4.32,-9.22,3.16,5.73,-3.69,-8.88,-9.37,0.44,-2.52,3.74,-1.7,3.83,-1.36,2.62,3.59,-7.62,5.78,3.45,3.06,-8.35,-4.32,1.7,0.53,-6.07,2.57,-2.09,-9.17,-9.27,-6.5,-6.46,-2.57,3.25,2.23,0.24,-7.33,3.74,7.48,-7.18,1.36,-8.98,-8.3,-4.27,-4.61,-2.43,5.19,-9.27,-6.07,3.3,3.2,-6.6,2.48,2.67,-4.76,-8.88,6.26,0.68,-8.25,-8.54,2.96,3.11,0.87,-7.09,3.16,-1.02,-4.17,-2.09,-4.37,-1.6,1.07,1.36,0.24,3.64,3.54,1.31,-1.5,-4.51,-4.08,-5.68,-1.31,-6.17,6.31,3.69,2.57
"9",-1.46,0.78,-4.17,-6.26,1.65,1.6,-5.49,-5.19,-6.5,2.28,5.87,-5.53,-5.39,6.65,-5.39,-5.39,-5.53,-7.82,-4.17,-5.58,-0.49,3.11,0.97,-3.88,-1.36,-3.35,5.58,-5.78,-5.78,1.7,6.8,2.14,-4.85,6.6,3.3,0.92,-8.83,-0.97,5.87,-4.51,-6.12,-5.53,0.49,-9.37,3.11,-0.49,-7.62,6.5,6.02,-4.13,5.44,8.4,-2.18,-3.54,2.77,-4.9,-9.37,-8.54,-9.81,-2.48,-0.39,-7.18,-2.43,-5.97,1.02,2.18,-8.54,-8.93,0.39,3.45,-8.98,1.94,-0.05,-6.17,-9.85,2.28,-5.44,5.73,2.82,6.12,2.14,5.53,8.54,-1.99,2.43,7.14,1.07,-1.12,0.19,0.83,6.12,-0.78,6.26,5.68,-7.43,-3.01,6.94,4.08,2.72,7.14
"10",6.02,2.18,1.46,2.67,-0.78,-2.77,-7.38,-4.61,0.92,3.98,0.63,1.55,-8.98,2.72,3.11,-4.81,-4.03,-4.08,-5.97,-7.48,-3.35,2.52,-2.91,-2.14,1.5,1.36,1.7,2.23,-3.5,1.8,3.25,3.01,0.87,1.12,-5.58,4.03,-3.69,-0.78,1.75,2.62,2.72,-3.59,-3.25,-3.4,1.89,1.99,-2.57,-0.39,-0.78,4.27,4.03,-2.72,-3.11,-4.13,0.53,-4.08,1.55,-3.3,1.17,0.19,1.8,-4.51,2.18,0.53,4.37,-2.82,0.97,2.96,-3.11,-4.22,-4.17,2.62,-3.06,-3.79,-3.69,-2.62,-2.28,-2.33,-4.37,-0.24,1.75,1.07,-1.84,-0.87,2.23,-0.05,2.43,2.96,1.55,3.3,0.63,1.46,1.07,-1.84,-3.98,-3.06,-0.29,2.82,-0.05,1.6
"11",-8.35,-9.17,-8.59,-8.3,2.38,-5.63,-7.91,1.41,4.22,3.5,2.82,-4.08,-4.47,-5.49,-3.59,-6.84,-2.86,-6.55,-1.31,-3.83,-6.07,-7.04,3.11,-4.95,-8.35,1.55,-6.31,3.16,-0.39,3.45,-2.72,-6.07,0.78,-3.06,-4.61,4.9,0.53,3.2,-4.22,-3.64,-7.96,1.65,2.23,-1.21,1.46,1.8,3.74,3.5,3.11,-0.97,-6.89,-6.17,-0.34,4.9,1.89,-8.3,-0.63,-6.21,-5.15,1.6,2.91,2.52,-3.4,-8.35,-5.68,-1.02,3.3,5.34,2.67,3.16,8.54,7.04,5.92,-9.03,6.84,4.47,7.82,8.35,7.62,6.6,5.92,7.14,-8.06,0.58,-8.5,8.3,5.58,4.95,5.58,6.02,4.17,-9.9,0.44,1.46,2.72,-6.46,0,-8.59,-0.63,-2.43
"12",3.64,3.4,3.64,3.64,-9.95,3.16,9.17,-3.54,3.64,-5.63,2.77,4.66,5.29,3.79,-5.29,-5.63,1.12,-9.51,-9.76,8.69,4.66,0.39,3.4,3.64,3.74,-4.95,-3.69,1.46,8.11,3.64,3.35,3.54,3.64,4.66,8.83,7.72,3.64,3.01,6.5,1.31,3.59,4.66,3.64,3.64,3.5,3.45,1.6,3.06,5.97,-2.43,3.35,4.47,3.69,3.35,3.45,4.66,3.64,3.64,3.64,2.77,4.71,2.96,2.72,3.64,7.33,7.38,3.64,-5.63,4.66,3.45,3.64,3.2,2.62,3.59,3.06,3.01,3.06,3.06,3.06,3.01,3.11,2.72,2.67,2.72,2.72,2.72,2.18,2.72,2.72,2.52,2.28,4.9,2.28,2.67,2.33,2.33,3.4,2.67,2.38,2.43
"13",7.52,7.57,7.33,7.28,6.5,6.55,-0.44,7.18,8.35,7.96,6.75,7.04,7.14,6.94,-5.97,7.33,7.43,6.36,6.31,6.75,3.79,6.75,8.54,8.11,6.75,4.56,7.52,-4.81,6.84,6.6,6.89,7.23,8.11,6.89,7.18,4.85,8.2,3.79,6.99,5.44,8.79,5.63,5.87,8.35,6.94,7.43,7.86,7.18,6.36,4.32,8.35,8.06,5.24,8.69,7.77,2.52,7.28,7.52,8.11,8.35,5.44,7.57,6.75,8.11,4.17,2.96,8.35,6.41,6.21,8.54,4.76,4.76,3.16,4.76,4.76,-4.37,-0.78,5.1,3.93,7.72,4.81,4.32,8.01,4.27,-1.21,0.92,0.34,2.28,7.62,-0.49,7.43,0.78,0.1,-1.31,-2.86,5.87,-1.84,1.36,-2.14,5.05
"14",-0.63,-0.83,-0.63,-2.82,2.82,-0.19,-3.45,-1.8,-2.38,-1.26,-0.63,0.34,0.92,-1.65,-7.91,-7.91,-2.43,-5.83,-2.48,-3.45,0.63,-0.53,-0.83,-4.37,-0.83,-0.1,2.57,-0.92,5.73,-0.92,0.29,2.23,-4.37,0.49,-0.97,-0.44,-1.94,0,-0.53,-2.52,-0.63,0.83,-3.98,-4.71,-0.83,0,-0.83,0,0.97,0.1,-0.29,-0.83,-0.63,0.97,0.15,0.63,-4.37,-4.71,-0.63,-0.63,2.43,2.33,0.15,-0.63,4.81,1.99,-0.44,0.49,2.96,-0.83,-3.01,-0.83,-2.43,-2.62,-2.62,-2.43,-3.45,-2.43,-1.31,-1.75,-0.19,-1.6,1.07,-3.01,-4.61,-3.11,-1.89,-1.89,-1.17,-2.91,-0.83,-1.26,-1.12,-3.79,-3.06,-2.57,-2.67,-0.58,-4.27,0.92
"15",-3.2,1.31,0,-2.18,-6.02,0.29,-7.18,-9.03,-1.12,0.78,-0.19,-9.13,-1.7,-1.6,-5.63,-8.93,0.83,-3.2,-3.98,-2.67,-1.02,-1.7,-0.15,0.87,1.02,-1.17,0.68,-2.33,-0.92,1.17,-4.42,0.05,0.87,-0.49,-1.55,-9.03,-9.71,0.34,-1.6,-2.38,-0.05,-0.19,0.1,0.34,0.24,-0.87,0.53,-1.31,-7.09,1.02,-3.2,-3.93,0.58,-1.55,-4.61,-0.19,-2.14,-0.58,5.49,0.1,-1.46,-1.99,0.58,-1.99,0.29,-1.6,-0.19,-2.23,-1.7,0.73,-9.66,2.96,-0.15,0.78,2.86,1.17,5.19,3.25,1.21,-8.74,3.79,-1.36,1.89,1.12,1.6,0.83,1.21,2.23,5.92,0.73,1.07,0.39,2.62,0.97,2.52,0.39,8.16,3.5,-8.54,2.77
"16",-0.97,-9.76,9.08,2.91,2.04,9.37,9.22,-3.16,-1.89,-2.82,5.39,9.32,-9.95,9.37,-9.9,-9.81,-0.49,-0.63,2.52,5.29,4.95,5.78,7.82,2.18,9.22,9.22,-3.88,5.49,-5.29,-4.42,-6.84,2.09,5,9.37,3.5,1.65,2.09,4.76,9.32,9.17,6.02,7.18,-7.18,-2.28,7.43,9.32,5.97,5.24,3.74,1.17,6.6,7.52,2.57,3.98,-8.35,6.17,5.87,-4.51,-8.59,6.65,3.25,4.85,9.17,-9.22,2.33,5.92,-6.99,-8.16,7.33,5.15,4.71,4.61,4.56,4.47,4.95,4.37,6.17,4.76,5.19,2.72,3.69,8.88,6.5,4.32,7.38,-6.02,3.69,4.71,4.61,4.17,4.08,9.32,3.3,-4.61,-1.89,3.45,4.81,9.22,-6.84,-3.59
"17",1.65,-8.83,-2.38,-6.75,2.48,1.17,0.39,2.48,1.6,4.9,1.36,3.74,-0.87,6.07,-7.62,3.93,-0.34,8.59,8.59,8.79,1.36,3.16,5.68,-2.82,2.38,3.01,4.03,8.88,2.28,2.09,6.12,9.13,-7.38,-0.73,8.93,9.08,-1.12,4.95,2.43,2.23,-6.46,-0.83,1.26,-2.18,1.46,-0.78,8.74,2.62,9.08,0.24,-4.22,-5.92,8.69,8.01,6.99,3.4,-7.82,-0.44,-4.37,-1.41,3.16,8.83,8.54,0.73,4.71,6.26,5.29,9.17,6.07,7.38,8.74,3.25,3.3,3.83,1.6,-2.82,2.28,7.72,-2.91,7.96,-3.5,3.88,-1.65,7.18,-2.86,9.17,6.99,-0.34,8.93,-0.24,5.44,-3.64,5.53,6.46,3.4,6.7,8.74,0.78,6.36,-1.17
"18",-7.14,8.93,7.18,-9.42,2.67,7.72,-5.19,-6.7,3.59,5.58,-7.91,6.6,2.72,5.73,2.91,2.91,-7.09,3.2,3.59,0.44,8.5,6.84,7.57,7.57,6.55,7.28,7.86,-6.26,8.25,-6.17,-8.11,6.89,-7.96,7.23,7.33,7.33,7.43,-5.68,7.48,7.91,8.79,8.2,6.89,8.16,7.48,8.35,-6.07,6.26,8.25,7.04,9.17,7.52,1.89,8.54,-6.89,6.75,8.83,-6.17,6.8,3.93,7.09,-5.78,7.43,6.65,7.52,-3.88,7.43,3.3,8.01,-3.83,7.67,6.36,6.5,-6.6,6.21,7.04,5.87,6.55,8.01,-6.8,7.48,-6.75,7.86,8.35,6.94,6.89,-8.83,8.74,8.74,-3.98,8.11,7.72,-8.06,7.62,8.5,8.35,8.64,8.2,8.54,7.67
"19",-3.59,-2.04,5.29,0.68,5.63,-0.73,-7.62,-7.33,0.68,5.83,2.91,0.15,-7.77,0,-7.62,-7.91,-1.94,-7.18,-4.27,-4.27,5.68,-2.48,-0.44,8.45,2.18,1.31,8.4,-3.06,7.96,-0.49,5.53,-2.18,4.03,1.31,6.41,3.64,0.83,7.57,1.89,-2.91,0.1,-0.58,-3.3,1.55,-2.72,3.93,-3.64,3.2,2.18,7.72,3.35,0.58,4.51,0.73,8.16,2.62,5.92,-8.06,-2.38,3.01,3.2,1.31,-3.3,-4.56,1.31,2.48,-3.4,3.2,1.75,2.18,1.7,3.59,-0.63,-3.83,0.1,2.86,-0.49,1.84,2.57,0.83,8.83,0.97,7.67,0.39,5.49,2.86,7.82,2.43,6.21,0.24,-1.94,-2.67,6.8,-3.11,5.34,-4.27,4.17,-2.23,1.55,-3.69
"20",8.74,5.19,5.97,3.35,1.07,7.09,-1.75,2.82,5.83,5.05,3.01,6.41,3.69,3.98,-4.32,-4.66,-1.21,-1.36,-1.36,-0.92,3.88,3.74,4.85,5.49,2.38,4.76,3.35,4.81,3.79,3.88,5.44,0.49,5.1,4.81,4.81,2.28,3.2,6.02,5.49,0.78,0.97,5.1,2.52,5.24,5.19,5.05,4.03,3.25,3.35,2.33,3.88,4.27,4.17,5.49,5.1,5.15,0.1,-8.25,2.57,0.49,5.83,1.31,1.65,5.97,5.58,3.93,3.59,5.15,4.56,3.69,-4.13,8.4,-2.09,-6.89,6.02,5.92,-4.17,-1.65,2.43,6.02,8.5,-1.94,5.87,-1.5,5.68,-5.92,1.17,6.6,8.45,-3.93,5.73,8.5,5.68,-4.17,1.26,7.82,6.12,7.57,5.49,3.93
"21",6.6,7.82,7.77,8.54,-3.59,7.48,5.97,-0.83,6.99,7.33,7.72,7.91,5.24,8.11,8.59,-7.43,-0.83,3.06,4.85,4.76,6.41,7.96,7.04,7.91,8.35,7.57,6.65,8.79,8.2,8.2,7.77,6.94,6.84,8.5,8.64,5.58,7.67,6.65,7.67,-1.5,7.72,8.59,6.75,7.33,7.14,2.09,6.84,7.82,8.16,4.17,7.48,7.43,5.87,8.59,8.45,7.91,6.5,0.92,8.74,7.38,8.79,8.2,7.96,7.96,8.54,7.82,8.4,6.84,0.97,7.18,8.45,9.32,7.52,8.4,0.68,7.77,7.77,7.28,8.01,7.48,8.16,7.91,8.45,8.25,5.39,9.17,8.11,6.17,8.59,8.5,8.98,8.35,6.5,7.67,9.22,7.09,8.88,6.84,7.82,8.5
"22",2.62,7.33,-7.67,4.17,-2.72,5.53,7.23,0.19,3.06,0.83,5.63,7.48,-6.55,-7.09,7.77,-8.59,5.29,-7.28,6.7,1.07,7.82,5.49,6.12,5.34,-1.21,8.25,6.94,6.55,-4.56,5.24,7.38,7.62,7.82,4.9,6.46,-0.97,5.49,4.76,-8.06,5.68,6.65,8.69,2.57,4.27,9.03,8.3,7.96,7.09,5.78,-0.63,-1.21,5.49,7.86,8.4,-7.04,7.62,5.34,-0.1,7.43,8.06,7.86,9.13,5.24,5.24,6.02,7.67,3.79,6.99,6.8,8.06,7.48,6.07,5.97,4.27,6.07,6.07,5.29,5.34,5.34,5.44,4.42,7.28,6.17,4.76,5.53,-0.24,6.12,6.31,7.04,7.14,2.82,4.47,4.95,2.96,3.35,4.03,4.17,1.55,8.59,2.43
"23",-2.91,4.27,-1.46,-2.23,-1.75,-3.54,1.5,1.36,-7.28,3.98,1.84,-6.5,-5.87,-5.24,4.47,-6.8,-2.62,3.2,0.92,-3.59,-0.58,1.89,-0.1,-3.93,-0.63,-4.95,-3.59,-4.03,-0.53,-4.76,2.04,-0.44,-0.58,0.15,-2.38,1.7,-6.41,0.24,-5.15,2.48,-0.78,-3.54,-6.36,0.44,-4.9,-0.68,-3.2,-4.9,-3.45,1.6,0.63,-0.34,-0.24,0.92,-0.63,-2.82,-2.91,-8.35,-2.28,1.46,0.87,0.68,-4.81,-2.23,2.82,-4.32,-2.62,-5.34,-1.17,-3.5,-1.02,-1.02,1.65,-3.5,-4.56,1.12,-4.76,0.44,-4.71,-4.32,2.09,-0.87,-2.33,-2.96,-2.86,4.37,-8.35,-0.53,-2.09,-3.3,1.41,-3.11,-3.59,1.89,-8.64,-1.31,-1.41,-2.67,-5.39,-2.18
"24",3.79,-7.09,2.96,-0.15,0.29,-1.99,-1.7,3.64,-7.96,1.46,2.28,-5.24,6.31,2.14,1.65,1.6,-0.1,-0.39,-2.28,2.96,1.94,2.28,3.01,-5.39,3.25,-6.94,3.5,-6.31,5.34,-2.86,4.27,0.78,2.86,1.55,1.89,0.44,-6.07,-4.61,3.69,5.58,2.23,2.23,-8.11,-9.08,2.43,1.07,-8.93,-1.7,5.49,1.36,-5.58,2.18,-5.83,1.17,2.62,0.24,-3.64,-8.69,4.03,-3.79,-2.52,3.98,-4.13,1.17,-4.56,1.31,-7.04,4.61,2.77,-2.33,-6.89,2.33,4.37,-7.43,-7.04,-0.58,3.93,-3.11,1.55,-6.84,6.46,1.55,-9.17,-0.68,-3.45,-0.39,-4.32,1.65,2.04,-7.96,-9.37,-3.45,-0.63,4.08,4.47,-4.61,4.66,-5.63,-4.42,-7.14
